City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hirara,JP,24.8,125.2833,23.66,87,32,6.13,scattered clouds
Port Blair,IN,11.6667,92.75,29.02,79,20,1.03,mist
Katsuura,JP,35.1333,140.3,18.22,96,16,3.82,few clouds
Alofi,NU,-19.0595,-169.9187,21.94,100,9,0.51,clear sky
Pokhara,NP,28.2333,83.9833,23.66,57,29,2.43,scattered clouds
Ambon,ID,-3.6954,128.1814,27.23,77,99,0.23,overcast clouds
Shafranovo,RU,53.9667,54.7667,8.68,72,98,2.78,overcast clouds
Biloela,AU,-24.4167,150.5,18.72,88,0,1.94,clear sky
New Norfolk,AU,-42.7826,147.0587,11.72,67,4,1.43,clear sky
Longonjo,AO,-12.9067,15.2533,21.46,78,94,1.13,light rain
Abancay,PE,-13.6339,-72.8814,17.15,73,67,0.43,broken clouds
Sligo,IE,54.2697,-8.4694,17.05,82,75,0.51,broken clouds
Constitucion,CL,-35.3333,-72.4167,14.23,45,6,3.13,clear sky
Kaitangata,NZ,-46.2817,169.8464,5.79,91,5,2.33,clear sky
Pangai,TO,-19.8,-174.35,27.4,73,4,4.99,clear sky
Narsaq,GL,60.9167,-46.05,11.12,55,100,2.23,overcast clouds
Hakkari,TR,37.5833,44.1667,8.88,46,40,10.29,scattered clouds
Cascais,PT,38.6979,-9.4215,20.28,62,40,7.72,scattered clouds
Yar-Sale,RU,66.8333,70.8333,1.2,100,100,1.21,light snow
Butaritari,KI,3.0707,172.7902,27.59,77,10,6.75,clear sky
San Ramon,US,37.7799,-121.978,7.97,86,0,1.54,clear sky
Smidovich,RU,48.6,133.8167,0.46,80,42,2.37,scattered clouds
Necochea,AR,-38.5473,-58.7368,14.52,49,3,5.37,clear sky
Aklavik,CA,68.2191,-135.0107,-10,85,100,4.12,light snow
Bluff,NZ,-46.6,168.3333,6,81,62,5.58,light rain
Isangel,VU,-19.55,169.2667,25.2,85,10,2.19,clear sky
Ribeira Grande,PT,38.5167,-28.7,16.22,88,75,10.29,broken clouds
Tuyen Quang,VN,21.8233,105.2181,25.26,75,0,0.16,clear sky
Manoel Urbano,BR,-8.8389,-69.2597,26.98,85,97,1.25,overcast clouds
Pitsunda,GE,43.1592,40.3378,7.88,74,100,2.41,overcast clouds
Sinnamary,GF,5.3833,-52.95,26.41,84,37,6.37,scattered clouds
Kitimat,CA,54.0524,-128.6534,-3.79,62,36,2.72,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,20.35,77,57,0.49,broken clouds
Sao Mateus,BR,-18.7161,-39.8589,31.36,54,29,0.89,scattered clouds
Cabanas,CU,22.9758,-82.9219,26.67,64,63,5.43,broken clouds
Patiya,BD,22.2931,91.9762,28.97,79,40,4.12,scattered clouds
Airai,TL,-8.9266,125.4092,15.77,94,100,1.01,overcast clouds
Carutapera,BR,-1.195,-46.02,27.69,84,66,3.42,broken clouds
Cabo San Lucas,MX,22.8909,-109.9124,21.4,62,18,3.77,few clouds
College,US,64.8569,-147.8028,-3.56,78,40,0,scattered clouds
Portland,US,45.5234,-122.6762,3.53,94,100,3.13,overcast clouds
Jilin,CN,43,126,8,40,100,2.87,overcast clouds
Norman Wells,CA,65.282,-126.8329,-19.98,71,20,1.03,few clouds
Clyde River,CA,70.4692,-68.5914,-21.87,84,75,0,broken clouds
Kodiak,US,57.79,-152.4072,3.73,65,40,5.14,scattered clouds
Mombetsu,JP,44.3525,143.3525,-0.38,81,100,1.38,overcast clouds
Dubovskoye,RU,47.4092,42.7575,8.86,66,100,8.44,overcast clouds
Kapaa,US,22.0752,-159.319,22.18,96,100,1.54,overcast clouds
Nueve De Julio,AR,-35.4444,-60.8831,15.34,49,1,3.72,clear sky
Pemba,MZ,-12.974,40.5178,27.9,73,98,4.62,overcast clouds
Prijepolje,RS,43.3719,19.6406,16.8,41,8,2.09,clear sky
Port Moresby,PG,-9.4431,147.1797,23.68,100,40,1.54,scattered clouds
Vanderhoof,CA,54.0166,-124.0198,-11.49,66,18,1.36,few clouds
Conde,BR,-7.2597,-34.9075,29.7,62,75,1.54,broken clouds
Mananjary,MG,-21.2167,48.3333,24.59,87,5,3.89,moderate rain
Hong Gai,VN,20.956,107.0946,24.95,89,0,1.24,clear sky
Pevek,RU,69.7008,170.3133,-18.95,92,97,1.34,overcast clouds
Lorengau,PG,-2.0226,147.2712,27.34,77,8,3.32,clear sky
Tefe,BR,-3.3542,-64.7114,28.06,89,40,2.06,scattered clouds
Nuuk,GL,64.1835,-51.7216,-2.66,74,0,4.12,clear sky
Sorland,NO,67.667,12.6934,2.92,87,100,2.57,overcast clouds
Denpasar,ID,-8.65,115.2167,28.81,79,20,3.09,few clouds
Turayf,SA,31.6725,38.6637,24.14,15,0,3.09,clear sky
Vanavara,RU,60.34,102.2797,-1.02,92,100,6.51,light snow
Fresnillo,MX,23.1667,-102.8833,10.75,42,1,5.18,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,18.23,78,63,10.61,broken clouds
Edgewater,US,28.9889,-80.9023,25.61,78,40,3.09,scattered clouds
Tupik,RU,54.4253,119.9327,-7.66,88,67,0.56,broken clouds
Vitoria Da Conquista,BR,-14.8661,-40.8394,29.29,48,50,0.34,scattered clouds
Khatanga,RU,71.9667,102.5,-7.39,96,100,4.13,snow
Xinzhi,CN,36.4989,111.7047,18.01,16,99,2.57,overcast clouds
Georgetown,MY,5.4112,100.3354,28.86,84,20,1.54,thunderstorm
Sakaiminato,JP,35.55,133.2333,12.99,100,100,6.17,light intensity drizzle
Mar Del Plata,AR,-38.0023,-57.5575,16.01,59,0,5.14,clear sky
Hambantota,LK,6.1241,81.1185,26.19,94,40,2.06,scattered clouds
Nanortalik,GL,60.1432,-45.2371,3.33,73,98,2.08,overcast clouds
Leningradskiy,RU,69.3833,178.4167,-21.19,97,76,5.12,broken clouds
Tateyama,JP,34.9833,139.8667,18.39,94,19,4.8,few clouds
Chokwe,MZ,-24.5333,32.9833,32.87,35,90,3.75,overcast clouds
Axim,GH,4.8699,-2.2405,28.25,73,100,5.06,overcast clouds
Ulladulla,AU,-35.35,150.4667,15.5,88,5,2.72,clear sky
Kudahuvadhoo,MV,2.6708,72.8944,29.09,75,100,7.03,overcast clouds
Bhanjanagar,IN,19.9333,84.5833,32.52,40,30,1.8,light rain
Kolvereid,NO,64.8655,11.6047,9.49,77,44,2.49,scattered clouds
Mayumba,GA,-3.432,10.6554,27.91,76,64,4.55,broken clouds
Castro,BR,-24.7911,-50.0119,19.22,94,100,2.44,overcast clouds
Nakhon Phanom,TH,17.3333,104.4167,29.93,42,20,1.51,few clouds
Byron Bay,AU,-28.65,153.6167,16.94,82,100,4.7,light rain
Vanimo,PG,-2.6741,141.3028,26.01,81,6,1.99,clear sky
Nioro,GM,13.35,-15.75,37.37,15,94,3.84,overcast clouds
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,29.06,68,88,1.31,overcast clouds
Saint George,US,37.1041,-113.5841,4.68,29,0,2.57,clear sky
Morehead,US,37.2711,-87.1764,19.32,97,100,7.72,light rain
Lazaro Cardenas,MX,17.9583,-102.2,24.38,81,100,1.58,overcast clouds
Asau,RO,46.4333,26.4,12.75,32,34,4.27,scattered clouds
Cayenne,GF,4.9333,-52.3333,28.02,1,75,5.66,broken clouds
Abapo,BO,-18.8333,-63.4667,18.35,99,100,0.99,overcast clouds
Hong,DK,55.5117,11.2903,15.04,69,100,6.31,overcast clouds
Baykit,RU,61.67,96.37,1.43,90,100,5.48,overcast clouds
Arki,IN,31.15,76.9667,23.34,18,17,2.43,few clouds
Haukipudas,FI,65.1765,25.3523,6.03,74,100,1.21,overcast clouds
Mana,GF,5.6592,-53.7767,27.08,79,23,5.74,few clouds
Ahuimanu,US,21.4447,-157.8378,23.25,80,40,3.6,scattered clouds
Fortuna,US,40.5982,-124.1573,7.03,93,75,3.09,broken clouds
Saint-Joseph,RE,-21.3667,55.6167,24.21,85,89,6.97,light rain
Rio Grande,BR,-32.035,-52.0986,23.06,63,100,3.8,overcast clouds
Troitsko-Pechorsk,RU,62.7084,56.1964,3.07,100,100,2.34,overcast clouds
Grindavik,IS,63.8424,-22.4338,8.97,71,100,12.35,light rain
Kyren,RU,51.6828,102.1408,-4.31,71,100,0.15,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,22.83,80,20,4.63,few clouds
Nogliki,RU,51.8333,143.1667,-9.64,96,51,2.81,broken clouds
Lakes Entrance,AU,-37.8811,147.981,12.71,89,8,2.59,clear sky
Adrar,MR,20.5022,-10.0711,33.74,11,19,4.74,few clouds
Boysun,UZ,38.2061,67.1986,19.37,37,0,1.63,clear sky
Esperance,AU,-33.8667,121.9,17.91,88,93,7.78,overcast clouds
Lamu,KE,-2.2717,40.902,30.12,69,10,5.24,clear sky
Ostrovnoy,RU,68.0531,39.5131,-1.74,83,100,1.95,overcast clouds
Slavutych,UA,51.5196,30.7343,4.31,90,100,6.65,overcast clouds
Geraldton,AU,-28.7667,114.6,18.23,82,0,4.63,clear sky
San Rafael Del Sur,NI,11.8485,-86.4384,27.54,60,82,6.71,broken clouds
Tupiza,BO,-21.45,-65.7167,15.52,8,0,2.56,clear sky
Ancud,CL,-41.8697,-73.8203,12.9,78,39,1.48,scattered clouds
Pangody,RU,65.85,74.4859,1.33,100,100,3.94,overcast clouds
Richards Bay,ZA,-28.783,32.0377,25.98,64,71,3.51,broken clouds
Biltine,TD,14.5333,20.9167,40.3,8,2,3.3,clear sky
Saint-Augustin,CA,51.226,-58.6502,1.31,99,100,2.15,overcast clouds
Margate,GB,51.3813,1.3862,17.71,79,77,4.69,broken clouds
San Quintin,MX,30.4833,-115.95,12.75,61,0,3.37,clear sky
Iqaluit,CA,63.7506,-68.5145,-17.15,64,20,8.75,few clouds
Kathmandu,NP,27.7167,85.3167,23.12,68,75,3.09,thunderstorm
Belaya Gora,RU,68.5333,146.4167,-24.51,100,98,1.31,overcast clouds
Bathsheba,BB,13.2167,-59.5167,29.34,61,40,11.32,scattered clouds
Cradock,ZA,-32.1642,25.6192,24.83,35,65,2.52,broken clouds
Nador,MA,35.174,-2.9287,20.04,68,40,8.23,scattered clouds
Christchurch,NZ,-43.5333,172.6333,8.3,87,9,0.51,clear sky
Namatanai,PG,-3.6667,152.4333,26.8,79,25,3.27,scattered clouds
Fukue,JP,32.6881,128.8419,16.18,87,100,10.58,light rain
San Cristobal,VE,7.7669,-72.225,23.1,45,75,4.26,broken clouds
Kimbe,PG,-5.5502,150.1429,24.37,93,51,1.46,broken clouds
Qaqortoq,GL,60.7167,-46.0333,5.68,55,100,1.85,overcast clouds
Royan,FR,45.6285,-1.0281,17.68,66,100,2.5,overcast clouds
Dikson,RU,73.5069,80.5464,-2.36,91,100,6.82,overcast clouds
Galesong,ID,-5.3166,119.3661,27.01,73,63,1.86,broken clouds
Kidal,ML,18.4411,1.4078,39.67,4,100,6.64,overcast clouds
Torquay,GB,50.4638,-3.5143,16.03,64,58,3.13,broken clouds
Dingle,PH,10.9995,122.6711,24.46,87,100,0.68,overcast clouds
Vegreville,CA,53.5001,-112.0518,-11.61,72,100,5.66,overcast clouds
Saint Simons,US,31.1352,-81.3901,24.03,72,0,6.17,clear sky
Longyearbyen,SJ,78.2186,15.6401,-5.09,86,100,3.6,light shower snow
Amahai,ID,-3.3333,128.9167,26.46,82,98,1.93,overcast clouds
Dunhua,CN,43.3725,128.2425,4.32,50,64,1.64,broken clouds
Porto Novo,BJ,6.4965,2.6036,30.9,60,100,4.78,overcast clouds
Saldanha,ZA,-33.0117,17.9442,22.03,88,100,6.98,overcast clouds
Veraval,IN,20.9,70.3667,28.15,75,0,5.96,clear sky
Shaunavon,CA,49.6501,-108.4181,-11.12,87,100,8.1,light snow
Talnakh,RU,69.4865,88.3972,0.67,99,100,4.97,light snow
Anadyr,RU,64.75,177.4833,-1.72,86,40,10,light snow
Palasa,IN,18.7667,84.4167,28.5,74,99,5.56,overcast clouds
Sunndalsora,NO,62.6754,8.5515,4.96,94,100,1.52,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,0.04,64,100,5.66,overcast clouds
Yulara,AU,-25.2406,130.9889,30.91,22,99,4.12,overcast clouds
Grants Pass,US,42.439,-123.3284,4.73,92,75,0,broken clouds
Pedasi,PA,7.5333,-80.0333,27.26,75,100,7.31,overcast clouds
North Augusta,US,33.5018,-81.9651,22.3,70,0,4.12,clear sky
Tiksi,RU,71.6872,128.8694,-25.24,100,100,1.55,overcast clouds
Nikolskoye,RU,59.7035,30.7861,9.37,65,10,3.34,clear sky
Kulhudhuffushi,MV,6.6221,73.07,29.14,74,99,6.07,heavy intensity rain
Lufilufi,WS,-13.8745,-171.5986,22.88,73,6,5.95,clear sky
Torbay,CA,47.6666,-52.7314,3.49,92,100,7.72,light intensity drizzle
Severo-Kurilsk,RU,50.6789,156.125,-1.36,92,100,5.76,light snow
Aras,ES,42.5617,-2.356,17.23,42,40,4.12,scattered clouds
Khasan,RU,42.4308,130.6434,5.35,54,100,1.12,overcast clouds
Kikwit,CD,-5.041,18.8162,29.81,59,98,1.94,overcast clouds
Shimoda,JP,34.6667,138.95,18.95,96,68,3.14,broken clouds
Hofn,IS,64.2539,-15.2082,5.01,75,100,3.09,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,8.79,86,0,2.57,clear sky
Straumen,NO,63.8709,11.2999,9,70,45,0.28,scattered clouds
Manggar,ID,-2.8833,108.2667,27.92,68,73,2.27,broken clouds
Mount Gambier,AU,-37.8333,140.7667,10.95,93,38,2.57,scattered clouds
Kutum,SD,14.2,24.6667,33.55,8,2,4.35,clear sky
Raudeberg,NO,61.9875,5.1352,9.37,64,100,6.97,overcast clouds
La Rioja,ES,42.25,-2.5,14.88,65,100,3.34,overcast clouds
Kavieng,PG,-2.5744,150.7967,27.7,78,92,4.29,light rain
Westport,US,41.1415,-73.3579,17.75,71,75,3.09,broken clouds
Itarema,BR,-2.9248,-39.9167,29.03,70,84,3.77,broken clouds
Nokaneng,BW,-19.6667,22.2667,31.48,24,97,2.36,overcast clouds
Nhulunbuy,AU,-12.2333,136.7667,27.34,94,40,2.06,scattered clouds
Cap Malheureux,MU,-19.9842,57.6142,26.37,82,27,4.02,scattered clouds
Alkhan-Churt,RU,43.35,44.78,6.7,72,100,2.62,overcast clouds
Yerbogachen,RU,61.2767,108.0108,-2.23,94,100,7.22,snow
Daitari,IN,21.1,85.75,28.18,53,99,2.12,overcast clouds
East London,ZA,-33.0153,27.9116,23.52,88,20,3.6,few clouds
Jackson,US,42.4165,-122.8345,3.93,90,100,2.06,light rain
Pong,TH,19.1493,100.2752,29.51,29,1,0.91,clear sky
Grand Gaube,MU,-20.0064,57.6608,26.32,82,30,4.02,scattered clouds
Juneau,US,58.3019,-134.4197,0,100,20,7.2,few clouds
Ostersund,SE,63.1792,14.6357,7.56,45,0,2.57,clear sky
Baghpat,IN,28.95,77.2167,36.04,10,69,3.77,broken clouds
Sembakung,ID,3.8167,117.25,23.75,99,100,0.3,overcast clouds
Macau,MO,22.2006,113.5461,27.7,88,20,2.57,few clouds
Chapais,CA,49.7834,-74.8492,3.88,76,44,2.5,scattered clouds
Qui Nhon,VN,13.7667,109.2333,25.67,91,87,0.76,overcast clouds
Ceres,US,37.5949,-120.9577,5.87,92,0,0,clear sky
Flin Flon,CA,54.7682,-101.865,-7.09,79,100,4.12,overcast clouds
Moron,AR,-34.6534,-58.6198,17.67,56,3,3.63,clear sky
Tamiahua,MX,21.2667,-97.45,28.27,71,100,3.12,overcast clouds
Barcelona,ES,41.3888,2.159,16.57,84,75,8.23,mist
Alekseyevka,RU,50.6309,38.6903,11.46,92,100,6.58,light rain
Kastamonu,TR,41.5,33.6667,3.29,61,100,6.03,overcast clouds
Saint-Francois,FR,46.4154,3.9054,19.26,58,0,4.63,clear sky
Coos Bay,US,43.3665,-124.2179,6.19,93,75,5.66,broken clouds
Cobourg,DE,50.2667,10.9667,22.01,36,100,0.89,overcast clouds
Suyo,PH,16.9762,120.5254,25.45,86,67,0.33,broken clouds
Mahebourg,MU,-20.4081,57.7,26.25,94,75,8.75,broken clouds
Luderitz,NA,-26.6481,15.1594,20.75,67,24,6.65,few clouds
Mogadishu,SO,2.0371,45.3438,30.93,74,40,6.17,scattered clouds
Cherskiy,RU,68.75,161.3,-21.96,99,42,2.57,scattered clouds
Sur,OM,22.5667,59.5289,30.83,33,0,0.75,clear sky
Kahului,US,20.8947,-156.47,23.8,68,0,4.02,clear sky
Avera,US,33.194,-82.5271,20.73,65,100,5.41,overcast clouds
Atyrau,KZ,47.1167,51.8833,18.01,39,75,9,dust
Canutama,BR,-6.5339,-64.3831,27.55,75,99,1.49,overcast clouds
Palmer,US,42.1584,-72.3287,17.99,31,75,0,broken clouds
Buala,SB,-8.145,159.5921,26.45,78,31,2.58,scattered clouds
Severo-Yeniseyskiy,RU,60.3725,93.0408,-1.99,93,100,5.13,overcast clouds
Altamont,US,42.2068,-121.7372,-1.09,88,100,6.69,overcast clouds
Tsurib,RU,42.2368,46.8307,0.98,97,100,2.83,snow
Aguimes,ES,27.9054,-15.4461,20.35,56,75,10.8,broken clouds
Talcahuano,CL,-36.7167,-73.1167,13.82,47,0,3.09,clear sky
Caravelas,BR,-17.7125,-39.2481,29.45,64,36,3.22,scattered clouds
Henties Bay,NA,-22.116,14.2845,18.85,73,44,4.99,scattered clouds
Rantauprapat,ID,2.1,99.8333,23.57,97,100,0.9,overcast clouds
Dhidhdhoo,MV,6.8833,73.1,28.41,78,100,5.94,moderate rain
Moree,AU,-29.4667,149.85,17.01,77,4,5.14,clear sky
Bloomsburg,US,41.0037,-76.4549,22.1,71,97,1.93,overcast clouds
Phan Thiet,VN,10.9333,108.1,26.21,87,100,1.7,overcast clouds
Tilichiki,RU,60.4667,166.1,-9.19,94,100,3.91,light snow
Tokur,RU,53.1333,132.9,-14.37,100,100,0.8,overcast clouds
Salinas,US,36.6777,-121.6555,5.66,87,0,2.06,clear sky
Berlevag,NO,70.8578,29.0864,0.97,55,20,5.14,few clouds
Rock Springs,US,41.5875,-109.2029,-3.86,70,0,10.29,clear sky
Zapolyarnyy,RU,69.4154,30.8136,0.6,86,99,1.49,overcast clouds
Khovu-Aksy,RU,51.1333,93.6,-6.78,64,90,1.9,overcast clouds
El Pardo,PH,9.66,123.4944,26.81,79,100,2.19,overcast clouds
Ixtapa,MX,20.7,-105.2,23.57,78,100,3.09,overcast clouds
Carnarvon,AU,-24.8667,113.6333,22.04,78,0,6.17,clear sky
Atagay,RU,55.1033,99.3875,-4.4,93,13,0.61,few clouds
Plouzane,FR,48.3833,-4.6167,17.18,70,75,5.66,broken clouds
Limon,CR,10,-83.0333,25.94,83,75,2.57,broken clouds
Chase,CA,50.8165,-119.6857,-0.38,58,100,1.96,overcast clouds
Inirida,CO,3.8653,-67.9239,28.08,80,99,1.37,overcast clouds
Cordoba,AR,-31.4135,-64.1811,22.09,35,0,2.57,clear sky
North Battleford,CA,52.7834,-108.2847,-10.89,67,100,5.66,overcast clouds
Goderich,CA,43.7501,-81.7165,17.18,77,100,8.75,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,16.92,45,0,6.17,clear sky
Bonthe,SL,7.5264,-12.505,29.83,64,98,5.59,overcast clouds
Antigonish,CA,45.6169,-61.9986,5.64,85,100,2.24,overcast clouds
Beyneu,KZ,45.3167,55.2,19.65,45,2,8.92,clear sky
Noumea,NC,-22.2763,166.4572,25.56,99,15,0.51,few clouds
Khvoynaya,RU,58.9,34.5333,5.46,81,96,2.35,overcast clouds
Gigmoto,PH,13.7796,124.39,24.94,84,100,2.01,overcast clouds
Jablah,SY,35.3614,35.9256,18.16,36,0,3.6,clear sky
Ushtobe,KZ,45.2514,77.9838,18.15,27,8,3.8,clear sky
San Patricio,US,28.017,-97.5169,25.6,79,100,5.99,overcast clouds
La Ronge,CA,55.1001,-105.2842,-11.86,67,100,4.63,overcast clouds
Lata,PT,40.1629,-8.3327,16.01,51,94,3.11,overcast clouds
Fort Morgan,US,40.2503,-103.8,-7.64,57,0,3.09,clear sky
Banjarmasin,ID,-3.3244,114.591,26.08,85,100,0.17,overcast clouds
Makakilo City,US,21.3469,-158.0858,22.6,72,100,3.6,overcast clouds
Port Hardy,CA,50.6996,-127.4199,4,93,40,2.06,scattered clouds
Sao Filipe,CV,14.8961,-24.4956,21.98,75,22,4.99,few clouds
Kruisfontein,ZA,-34.0033,24.7314,21.05,64,5,6.45,clear sky
Altoona,US,40.5187,-78.3947,20.74,70,99,3.2,overcast clouds
Ilinskiy,RU,55.619,38.1182,7.21,87,100,4.02,overcast clouds
Spornoye,RU,50.8448,37.2913,13.35,67,98,7.12,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,6.66,91,69,1.85,broken clouds
Staryy Nadym,RU,65.6118,72.6842,1.59,100,100,4.36,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,0.09,67,100,3.31,overcast clouds
Chuy,UY,-33.6971,-53.4616,21.28,38,59,3.07,broken clouds
